query_id	query_text
1048585	what is paula deen's brother
2	    Androgen receptor define
524332	treating tension headaches without medication
1048642	what is paranoid sc
524447	treatment of varicose veins in legs
786674	what is prime rate in canada
1048876	who plays young dr mallard on ncis
1048917	what is operating system misconfiguration
786786	what is priority pass
524699	tricare service number
1048995	who proposed the geocentric theory
786857	what is probability biology
524722	tricuspid atresia definition
873886	what level does zubat evolves to
524733	trigeminal definition
786918	what is process control equipment
786937	what is process improvement (lean six sigma)
1049085	what is on the outside of dna
262232	how long is a day on ven
524835	tristesse definition
524848	trivex lenses cost
1049200	who recorded loving you
1049221	who recorded the song still the one?
1049329	what is nyu ranked
1049368	who s sherlock holmes
787255	what is project charter in project management
262974	how long is a typical car loan?
1049456	what is nortriptyline prescribed for
1049774	cost of attendance eastern illinois university
1049791	what is njstart
525534	turkey and china time difference
1288	3/5 of 60
1049894	who sang i feel wonderful tonight
787784	what is provocative allergy testing
1049955	what is net gain
1050007	who sang louie louie louie louie
525779	twin tower adress
263670	how long is flight from hyd to dubai
